,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,Color:,Size:
0,5,True,2015-09-04,ALJ66O1Y6SLHA,B000K2PJ4K,Tonya B.,Great product and price!, Blue/Orange, Big Boys
1,5,True,2015-09-04,ALJ66O1Y6SLHA,B000K2PJ4K,Tonya B.,Great product and price!, Black (37467610) / Red/White, Big Boys
2,5,True,2015-09-04,ALJ66O1Y6SLHA,B000K2PJ4K,Tonya B.,Great product and price!, Blue/Gray Logo, Big Boys
3,5,True,2015-09-04,ALJ66O1Y6SLHA,B000K2PJ4K,Tonya B.,Great product and price!, Blue (37867638-99) / Yellow, Big Boys
4,5,True,2015-09-04,ALJ66O1Y6SLHA,B000K2PJ4K,Tonya B.,Great product and price!, Blue/Pink, Big Boys
5,3,True,2015-05-06,A3W11493KS6Z2L,B000K2PJ4K,NaeNae,Waaay too small. Will use for futur children!, White/Black, Little Boys
6,5,True,2015-05-06,A3W11493KS6Z2L,B000K2PJ4K,NaeNae,Stays vibrant after many washes, Blue/Orange, Little Boys
7,5,True,2015-05-06,A3W11493KS6Z2L,B000K2PJ4K,NaeNae,Stays vibrant after many washes, Blue (37867638-99) / Yellow, Little Boys
8,5,True,2015-05-06,A3W11493KS6Z2L,B000K2PJ4K,NaeNae,My son really likes the pink. Ones which I was nervous about, Blue/Pink, Little Boys
9,3,True,2015-05-06,A3W11493KS6Z2L,B000K2PJ4K,NaeNae,Waaay too small. Will use for future child., Light Blue/Red, Little Boys
10,2,True,2018-01-25,A3HX4X3TIABWOV,B000KPIHQ4,Denise A. Conte,Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,,
11,2,True,2017-01-05,AW8UBYMNJ894V,B000KPIHQ4,Cognizant Consumer,"This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",,
12,5,True,2016-10-17,A265UZVOZWTTXQ,B000KPIHQ4,William_Jasper,We have used these inserts for years.  They provide great support.,,
13,5,True,2016-08-22,AW8UBYMNJ894V,B000KPIHQ4,Cognizant Consumer,"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",,
14,5,True,2016-03-23,A265UZVOZWTTXQ,B000KPIHQ4,William_Jasper,Excellent insole with good support.,,
15,5,True,2015-06-24,AW8UBYMNJ894V,B000KPIHQ4,Cognizant Consumer,A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,,
16,5,True,2014-11-17,A265UZVOZWTTXQ,B000KPIHQ4,William_Jasper,These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,,
17,2,True,2018-01-25,A3HX4X3TIABWOV,B000V0IBDM,Denise A. Conte,Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,,
18,2,True,2017-01-05,AW8UBYMNJ894V,B000V0IBDM,Cognizant Consumer,"This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",,
19,5,True,2016-10-17,A265UZVOZWTTXQ,B000V0IBDM,William_Jasper,We have used these inserts for years.  They provide great support.,,
20,5,True,2016-08-22,AW8UBYMNJ894V,B000V0IBDM,Cognizant Consumer,"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",,
21,5,True,2016-03-23,A265UZVOZWTTXQ,B000V0IBDM,William_Jasper,Excellent insole with good support.,,
22,5,True,2015-06-24,AW8UBYMNJ894V,B000V0IBDM,Cognizant Consumer,A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,,
23,5,True,2014-11-17,A265UZVOZWTTXQ,B000V0IBDM,William_Jasper,These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,,
24,1,True,2018-03-12,A3QY3THQ42WSCQ,B000YFSR5G,Amazon Customer,Waaaay too BIG, Charcoal Heather, X-Large
25,5,True,2018-02-08,AGZ5OOZVDO194,B000YFSR5G,Amazon Customer,Comfortable, Deep Royal, XX-Large
26,4,True,2010-07-01,A3GJ3DJU1RXOHN,B000YFSR4W,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",,
27,5,True,2017-10-25,A232J1FHOQI5YN,B000YFSR5G,Louis Robbio,Good product for the price.  Used very day and no problem., Navy, X-Large
28,5,True,2017-10-14,A2ON4RYI9Z4SQ,B000YFSR5G,Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price., Light Steel, Medium
29,1,True,2018-03-12,A3QY3THQ42WSCQ,B000YFSR4W,Amazon Customer,Waaaay too BIG, Charcoal Heather, X-Large
30,5,True,2017-07-30,A232J1FHOQI5YN,B000YFSR5G,Louis Robbio,Excellent value.  Comfortable., Light Steel, X-Large
31,5,True,2017-06-16,A1EZN3E9R322YJ,B000YFSR5G,wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well", Deep Royal, XXX-Large
32,3,True,2017-04-18,A3T8NHQYBQSV1X,B000YFSR5G,Mark,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.", Navy, Medium
33,5,True,2017-04-13,A2NEJIX5NIH2ZZ,B000YFSR5G,jami,"Fit perfectly. I bought dark grey, and they didn't fade", Charcoal Heather, Medium
34,3,True,2017-04-13,A2NEJIX5NIH2ZZ,B000YFSR5G,jami,They fit great. But they fade bad, Black, Medium
35,4,True,2017-04-05,A3T8NHQYBQSV1X,B000YFSR5G,Mark,I only give four stars because the pants have no pockets., Black, Medium
36,3,True,2017-03-24,A1G0HYMR02WM2W,B000YFSR5G,Cici Ciconia,Average product.  As described., Deep Royal, XX-Large
37,5,True,2018-02-08,AGZ5OOZVDO194,B000YFSR4W,Amazon Customer,Comfortable, Deep Royal, XX-Large
