,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,Size:
0,5,True,2016-09-01,A3CIUOJXQ5VDQ2,B0000530HU,Shelly F,As advertised. Reasonably priced, 7.0 oz
1,5,True,2013-11-14,A3H7T87S984REU,B0000530HU,houserules18,Like the oder and the feel when I put it on my face.  I have tried other brands but the reviews from people I know they prefer the oder of this brand. Not hard on the face when dry.  Does not leave dry skin., 7.0 oz
2,1,True,2013-08-18,A3J034YH7UG4KT,B0000530HU,Adam,I bought this to smell nice after I shave.  When I put it on I smelled awful.  I am 19 and I smelled like a grandmother with too much perfume., 7.0 oz
3,5,False,2011-05-03,A2UEO5XR3598GI,B0000530HU,Rich K,"HEY!! I am an Aqua Velva Man and absolutely love this stuff, been using it for over 50 years. This is a true after shave lotion classic. Not quite sure how many women that have been attracted to me because of Aqua Velva,  I do know for sure that it's just to many to count. Ha.  Not sure how long this has been around but the Williams Company ran a paper advertisement, taken from a 1949 magazine, which features Ralph Bellamy of Detective Story and Ezio Pinza of South Pacific for Aqua Velva After Shave Lotion. I'm sure you all remember Ralph Bellamy and Ezio Pinza from the 40's right.

There slogan was "" There is nothing like an AQUA VELVA MAN "" and it seemed to work because this was a hot item when I was a young man. It's just amazing that this is still around when the vast majority of after shave lotions from that time period have disappeared over the years.

The only negative about Aqua Velva is it does not last very long. Usually in less than an hour the aroma has dissipated. The more expensive after shave lotions and perfumes have Ambergris in them which is quite expensive and comes from a sperm whale this enables the aroma to linger much longer.

At any rate this is a great classic after shave with a wonderful refreshing odor, give it a try you might just like it.

Note :::; Some reviewers mention this 7oz size now comes in a plastic container, I just bought one in Wal-Mart and it was glass.", 7.0 oz
4,5,True,2011-05-06,A3SFRT223XXWF7,B00006L9LC,C. C. Christian,"If you ever want to feel pampered by a shampoo this one is the one.  It smells like a wonderful perfume and cleans your hair until it shines plus adding a fullness that most other shampoo's don't give you.  It is expensive, but worth it!", 200ml/6.7oz
5,5,False,2010-05-16,A24HQ2N7332W7W,B00006L9LC,Kindle Customer Joyce Wilson,"If you know the scent of Diva, you'll LOVE this body cream....everyone says ""who smells so good in here!""", 366
6,5,False,2018-05-07,A2G90R2ZU6KU5D,B00006L9LC,Mike,"Got this shampoo as a solution for my wife's dandruff problem. It worked! She got rid of any dandruff signs after 3-4 uses. As long as she is happy, I am happy too!", Small
7,2,True,2018-05-07,A24W4W9E62FZP2,B00006L9LC,Reb,No change my scalp still itches like crazy. It doesnt lather at all so its very hard to move around the hair and scalp. It does smell good and my hair feels clean., Small
8,1,True,2018-05-06,A7ID5H7FWLJHC,B00006L9LC,U. V.,Too expensive for such poor quality. There was no improvement and I am starting to think my scalp is worse off than it was before I started using this product. I do agree with other reviews that it feels watered down too much. Had to use more shampoo than all other shampoo's I have tried to get a good lather., Small
9,1,True,2018-05-06,AYKOSAJTP5AVS,B00006L9LC,Senthil Kumar M,"It dries my hair, doesnt help to reduce dandruff. I have to use very less shampoo nevertheless it dries.. don't know how this got higher ratings", Small
10,5,False,2018-05-06,A3HIEBXDI9EQA6,B00006L9LC,john robbins,Outstanding! Top organic shampoo!, Small
11,1,True,2018-05-05,A2YDF506DAA5W4,B00006L9LC,justdancing,"So watered down, I didn't feel like it was actually shampoo. I tried twice then threw it away.", Small
12,5,False,2018-05-05,AKFUG2XFPPWWM,B00006L9LC,Donovan,10 stars right here. This product helped me with my itchy skin and my sister's greasy hair complain., Small
13,5,False,2018-05-05,A1T7DRMZ9A9KEA,B00006L9LC,Robert Roehlk,First hair care product I've decided to purchase online. Worth it for sure. No more struggle with getting rid of my dandruff problem. I use it about once per 2-3 days and it is more than enough to keep my hair and head skin healthy., Small
14,1,True,2018-05-03,AEL1DK2OJ41ZZ,B00006L9LC,Amazon Customer,Made dandruff worse and irritated rest of skin, Small
